Date;SPX;NVDA;UNH;BAC;GM;NFLX;MMM;WMT;XOM;NEE;PLD;NEM
1/10/24;5708.75;117;583.3;39.22;44.88;706.13;137.06;81.27;119.93;85.27;124.61;54.14
30/09/24;5762.48;121.44;584.68;39.68;44.84;709.27;136.7;80.75;117.22;84.53;126.28;53.45
27/09/24;5738.17;121.4;581.85;39.4;46.48;707.35;137.3;79.78;115.82;84.54;125.59;53.9
26/09/24;5745.37;124.04;574.81;39.52;45.81;711.43;139.44;79.92;112.8;83.46;125.23;55.53
25/09/24;5722.26;123.51;576.31;39.25;45.73;721.56;136.6;81.4;114.77;84.62;125.39;55.26
24/09/24;5732.93;120.87;575.19;39.45;48.07;722.26;137.22;80.67;117.05;84.29;126.68;55.85
23/09/24;5718.57;116.26;573.41;39.87;48.04;705.37;135.64;80.33;117.36;84.82;126.63;54.48
20/09/24;5702.55;116;575;40.27;48.88;701.03;134.77;79.06;115.27;82.76;125.47;54.47
19/09/24;5713.64;117.87;577.07;40.87;48.62;704.32;133.84;78.04;116;82.29;128.5;53.52
18/09/24;5618.26;113.37;580.65;39.62;48.66;690.47;133.36;79.03;114.58;84.28;127.02;53.06
17/09/24;5634.58;115.59;577.96;39.55;47.52;706.91;133.57;78.6;114.18;84.97;128.87;53.11
16/09/24;5633.09;116.78;589.14;39.1;46.87;696.5;134.61;80.56;112.71;84.64;129.28;53.13
13/09/24;5626.02;119.1;594.32;38.65;46.3;697.06;133.18;80.6;111.15;84.65;129.98;53.71
12/09/24;5595.76;119.14;588.42;38.78;46.12;686.8;132.03;79.66;111.23;83.46;130.29;52.88
11/09/24;5554.13;116.91;589.75;39;44.67;681.47;130.23;78.84;109.72;83.43;130.69;50.74
10/09/24;5495.52;108.1;599.03;39.28;44.82;673.62;130.09;78.81;110.82;82.3;132.4;51.3
9/09/24;5471.05;106.47;594.1;39.47;47.4;675.42;128.46;77.34;115.01;81.19;130.25;50.72
6/09/24;5408.42;102.83;596.88;38.76;47.14;665.77;128.6;76.64;112.64;79.98;127.23;50.34
5/09/24;5503.41;107.21;595.49;40.14;48.15;683.62;131.4;76.96;113.17;80.33;127.41;51.93
4/09/24;5520.07;106.21;604.18;40.5;48.45;679.68;132.15;77.24;114.06;81.08;128.27;51.61
3/09/24;5528.93;108;598.68;40.7;48.41;675.32;130.85;77.17;115.47;79.93;128.37;52.27
30/08/24;5648.4;119.37;590.2;40.75;49.78;701.35;134.69;77.23;117.94;80.51;127.82;53.39
29/08/24;5591.96;117.59;591.57;40.17;49.47;692.48;132.91;76.42;118.13;80.03;125.33;53.18
28/08/24;5592.18;125.61;588.54;39.95;49.05;683.84;131.61;76.08;116.52;79.41;126.9;51.83
27/08/24;5625.8;128.3;587.35;39.67;49.25;695.72;131.4;76.13;117.68;79.61;128.94;52.7
26/08/24;5616.84;126.46;587.13;39.92;48.75;688.44;131.85;76.03;118.81;80.64;128.9;52.26
23/08/24;5634.61;129.37;584.51;39.77;48.57;686.73;130.55;75.7;116.32;79.66;128.86;52.04
22/08/24;5570.64;123.74;578.72;39.24;46.46;688.96;128.6;75.58;114.73;78.92;125.98;51.41
21/08/24;5620.85;128.5;578.07;38.75;46.56;697.12;129.23;75.24;113.85;79.64;124.47;51.87
20/08/24;5597.12;127.25;580.65;38.69;45.98;698.54;127.7;74.54;114.58;78.98;124.15;51.45
19/08/24;5608.25;130;578.78;39.67;45.76;688.53;127.08;73.72;118.53;79.35;124.7;51.19
16/08/24;5554.25;124.58;577.68;39.34;45.32;674.07;127.05;73.45;118.17;78.57;122.85;50.21
15/08/24;5543.22;122.86;579.61;39.03;44.86;663.22;127.16;73.18;118.73;77.41;124.77;49.31
14/08/24;5455.21;118.08;579.67;38.81;43.61;661.68;126.17;68.66;118.95;78.01;123.42;49.14
13/08/24;5434.43;116.14;574.24;38.46;43.32;648.02;125.35;68.13;117.86;78.12;122.68;49.02
12/08/24;5344.39;109.02;565.29;38.17;42.99;633.14;123.36;68.7;119;77.58;119.99;48.79
9/08/24;5344.16;104.75;558.76;38.28;43.48;633.94;124.17;67.95;118.85;77.46;121.9;47.71
8/08/24;5319.31;104.97;566.24;38.21;42.73;630.35;125.13;67.66;117.89;77.54;121.99;47.71
7/08/24;5199.5;98.91;566.08;37.3;40.65;611.48;122.83;66.91;115.68;77.56;120.15;46.4
6/08/24;5240.03;104.25;568.35;36.92;40.61;609.57;124.89;67.74;114.16;76.97;121.05;47.6
5/08/24;5186.33;100.45;569.96;36.65;39.95;598.55;124.61;67.59;114.77;76.68;118.94;47.03
2/08/24;5346.56;107.27;589.83;37.58;41.17;613.64;125.24;68.46;116.88;79.2;123.98;48.51
1/08/24;5446.68;109.21;572.77;39.5;43.37;624.85;126.47;69.79;116.95;78.39;127.72;49.55
31/07/24;5522.3;117.02;576.16;40.31;44.32;628.35;127.55;68.64;118.59;76.39;126.05;49.07
30/07/24;5436.44;103.73;576.33;41.28;44.23;622.58;126.75;69.19;118.17;74.28;126.09;47.41
29/07/24;5463.54;111.59;566.75;41.09;44.15;626.96;125.16;69.62;116.1;74.34;123.95;47.28
26/07/24;5459.1;113.06;569.72;41.67;44.12;631.37;127.16;69.78;117.33;74.26;122.68;46.73
25/07/24;5399.22;112.28;559.68;41.68;44.13;634.09;103.39;70.02;117.43;73.44;120.43;45.7
24/07/24;5427.13;114.25;559.75;42.19;46.49;635.99;103.25;70.6;115.01;75.41;123.08;47.7
23/07/24;5555.74;122.59;554.7;42.41;46.38;642.76;104.73;70.65;113.41;72.11;125.68;47.07
22/07/24;5564.41;123.54;558.53;42.3;49.56;647.5;104.97;70.38;115.27;72.9;126.66;47.29
19/07/24;5505;117.93;565.33;42.9;48.3;633.34;103.92;70.75;116.07;72;123.75;47
18/07/24;5544.59;121.09;564.34;43.01;49.65;643.04;104.02;70.82;118.8;71.67;122.62;47.51
17/07/24;5588.27;117.99;573.28;43.98;49.9;647.46;104.64;71.03;117.64;70.9;123.21;48.27
16/07/24;5667.2;126.36;548.87;44.13;49.77;656.32;103.31;69.99;116.04;71.9;121.49;48.32
15/07/24;5631.22;128.44;515.37;41.89;49.3;656.45;102.72;69.61;115.21;70.97;121.14;47.35
12/07/24;5615.35;129.24;511.53;41.59;49.01;647.6;104.04;69.24;113.27;76;120.15;47.51
11/07/24;5584.54;127.4;504.36;41.81;47.93;652.75;103.23;69.8;113.25;74.7;120.41;47.17
10/07/24;5633.91;134.91;500.93;41.74;46.53;677.65;101.67;70.41;111.92;72.9;116.54;45.46
9/07/24;5576.98;131.38;492.11;41.42;46.26;685.74;99.69;69.9;110.94;72.12;114.45;43.89
8/07/24;5572.85;128.2;489.34;40.62;46.55;685.74;101.1;69.68;112.18;72.11;114.41;44.13
5/07/24;5567.19;125.83;488.01;40.41;46.52;690.65;101.32;70.04;113.37;72.09;114.46;44.51
3/07/24;5537.02;128.28;489.89;40.9;46.71;682.51;101.62;68.24;114.76;71.83;113.3;43.45
2/07/24;5509.01;122.67;498.24;40.93;46.95;679.58;101.62;68.07;114.18;70.47;113.21;41.71
1/07/24;5475.09;124.3;494.65;40.01;46.68;673.61;100.61;67.48;114.96;69.9;111.95;41.65
28/06/24;5460.48;123.54;509.26;39.77;46.46;674.88;102.19;67.71;115.12;70.81;112.31;41.87
27/06/24;5482.87;123.99;486.44;39.25;45.58;684.34;103.17;67.88;114.9;73.72;111.35;41.84
26/06/24;5477.9;126.4;484.04;39;45.77;677.69;101.45;68.29;114.41;73.37;110.41;41.45
25/06/24;5469.3;126.09;484.5;39.38;46.41;672.41;102.05;67.42;114.37;72.98;109.83;41.9
24/06/24;5447.87;118.11;489.98;40.02;48.11;669.02;102.99;68.9;114.05;73.85;111.63;42.6
21/06/24;5464.62;126.57;482.59;39.49;47.72;686.12;102.39;67.91;110.76;72.81;109.4;42.26
20/06/24;5473.17;130.78;484.52;39.99;47.77;679.03;101.66;68.01;111.74;72.46;109.16;42.81
18/06/24;5487.03;135.58;481.05;39.99;47.44;685.67;100.77;67.6;109.38;70.44;110.05;41.79
17/06/24;5473.23;130.98;489.23;39.51;47.4;675.83;100.53;67.42;108.36;72.31;111.28;40.91
14/06/24;5431.6;131.88;497.12;39.24;46.77;669.38;100.9;67.02;109.11;73.06;112.29;40.82
13/06/24;5433.74;129.61;497.3;39.26;47.65;653.26;101.54;66.7;110.04;73.18;112.38;40.56
12/06/24;5421.03;125.2;493.07;39.41;48.86;650.06;101.21;66.31;110.93;72.26;112.81;40.99
11/06/24;5375.32;120.91;496.22;38.86;48.21;648.55;101.32;66.73;112.17;72.74;111.58;40.65
10/06/24;5360.79;121.79;495;39.67;47.57;644.5;100.66;66.96;113.08;76.97;111.17;41.3
7/06/24;5346.99;120.888;490.69;39.78;45.72;641.47;100.86;65.88;112.75;75.39;110.2;40.36
6/06/24;5352.96;120.998;501.92;39.7;45.61;648.52;98.22;67.15;113.97;76.7;110.01;42.5
5/06/24;5354.03;122.44;503.12;39.96;45.62;650.27;99.06;67.09;113.12;77.05;108.74;41.1
4/06/24;5291.34;116.437;505.49;39.68;45.26;631.62;98.61;66.6;112.67;77.15;108.77;40.53
3/06/24;5283.4;115;497.44;39.88;45.74;633.79;99.76;65.82;114.45;77.71;107.4;41.89
